pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
0.7600526152776913,0.09999999999999787,h2,TOR
5.001915608285041,5.1,h9,ANK
7.3103834986457805,12.200000000000001,h9,NYC
4.099352221956851,6.4,h9,BUE
10.96695027443614,11.100000000000001,h5,SEA
10.527758853956476,11.099999999999998,h3,DAL
3.5491938042324356,4.5,h6,MIA
4.986241930218896,5.0,h7,SEL
1.4591559639938374,0.0,h3,ATL
1.5633777993785714,0.0,h8,SEL
5.0315084715072125,2.0,h7,SEA
4.337074544346786,2.0,h5,ANK
4.868111041895824,7.0,h6,PAR
7.108253507760843,7.0,h7,SEL
0.4735622080275107,0.0,h2,PAR
6.792995675004837,8.0,h9,SEL
7.05386476548249,4.0,h7,SEA
4.437262503072074,4.0,h8,NYC
5.201949296326286,6.0,h6,WLG
0.5752858704752717,0.0,h2,DAL
3.7752408537524906,2.299999999999999,h5,TOR
8.240808811893755,7.699999999999999,h8,DAL
0.38598436154692284,0.0,h1,PAR
7.981256342246371,7.0,h6,ANK
2.9030404998329375,2.0999999999999996,h5,LON
0.8612536943191283,0.0,h3,LON
6.306114760514625,4.0,h5,DAL
1.531026188632016,1.0,h1,WLG
4.003975507182145,4.6,h6,TOR
6.629299579493061,7.0,h7,BUE
2.525125590050947,4.0,h6,WLG
6.22177121802202,4.0,h7,DAL
4.06689501855082,4.399999999999999,h1,TOR
1.678838386282209,1.2,h1,TOR
4.46498765901681,4.0,h9,WLG
3.881858870399445,5.0,h4,SEA
10.779566291020783,15.4,h9,CHI
8.902858364004194,12.8,h7,MIA
3.4754121421897928,4.0,h4,SEL
2.5378677413686686,2.200000000000003,h4,DAL
1.1066581361986358,1.0,h1,BUE
12.956148324228,11.200000000000001,h5,NYC
3.670156089835435,2.3000000000000007,h5,ATL
0.5773901818725493,0.8999999999999986,h1,ATL
3.1635564894276667,3.0,h5,MIA
6.97997698503386,5.5,h1,ANK
0.5695940028235326,0.5,h3,MIA
7.084660273384848,6.800000000000001,h7,WLG
3.2844841108504683,4.700000000000003,h5,TOR
2.2517844222287837,2.3999999999999986,h4,BUE
7.449890366911628,8.0,h8,MIA
1.9306881501867943,1.5,h3,TOR
5.925015759066677,5.5,h7,CHI
4.2893527535417055,6.0,h7,PAR
0.3949664553335466,0.09999999999999964,h2,LON
7.431707338338223,8.0,h8,WLG
2.9768717952583295,1.0,h5,ANK
2.1047622750816974,1.6000000000000014,h2,ATL
0.541284032886192,0.0,h1,CHI
8.392154284487074,5.0,h9,DAL
2.9580779652281186,2.5,h4,LON
0.35418964065260383,0.0,h1,DAL
11.137251404231199,10.0,h8,PAR
3.0993607157354783,3.0,h3,SEA
2.1327685931291915,2.5,h6,LON
1.600417215172491,2.0,h7,WLG
3.991904471895314,3.0,h6,CHI
