feature,importance_mean,importance_std,horizon_bucket
temp_lag_8h,0.0004015134381896157,0.0,h8
temp_lag_17h,0.0003850641928053733,0.0,h8
delta_temp_10h,0.00034542447367713613,0.0,h8
latitude,0.0003129069841061316,0.0,h8
temp_lag_12h,0.0002980754714330125,0.0,h8
delta_temp_7h,0.0002707799717118764,0.0,h8
temp_lag_7h,0.00022563074818915396,0.0,h8
longitude,0.0,0.0,h8
is_coastal_airport,0.0,0.0,h8
delta_temp_1h,0.0,0.0,h8
is_us_airport,0.0,0.0,h8
is_raining,0.0,0.0,h8
temp_lag_10h,-2.5699319421423894e-06,0.0,h8
temp_roll_mean_24h,-7.344401945896806e-05,0.0,h8
temp_roll_std_3h,-0.0001742164587770212,0.0,h8
temp_roll_mean_12h,-0.0002113834748151966,0.0,h8
delta_temp_11h,-0.00021151823673082326,0.0,h8
temp_lag_13h,-0.0002356497916478073,0.0,h8
temp_roll_std_6h,-0.00024609009097265044,0.0,h8
prcp,-0.0002473255570820676,0.0,h8
temp_lag_6h,-0.00029394219062894855,0.0,h8
delta_temp_8h,-0.00031568272831772326,0.0,h8
is_daylight,-0.00040238547302262617,0.0,h8
temp_roll_mean_6h,-0.00040482909249339727,0.0,h8
temp_lag_11h,-0.0004664921444732517,0.0,h8
temp_lag_20h,-0.0005351599038192489,0.0,h8
temp_lag_5h,-0.0005429970746244628,0.0,h8
temp_lag_4h,-0.001299360923346482,0.0,h8
rain_12h_sum,-0.002015172658108799,0.0,h8
delta_cldc_3h,-0.00302486237691868,0.0,h8
rain_6h_sum,-0.0038002011907811717,0.0,h8
city,0.24837468897877324,0.0,h7
delta_temp_16h,0.2309653415376418,0.0,h7
delta_temp_15h,0.1993618848347567,0.0,h7
wspd,0.11141732995479003,0.0,h7
temp_roll_std_24h,0.10291270265835073,0.0,h7
solar_elevation_deg,0.08325767167225773,0.0,h7
cldc,0.0734761602240459,0.0,h7
wdir,0.047248073007349234,0.0,h7
delta_temp_14h,0.0363760817173433,0.0,h7
solar_hour_angle_deg,0.03295100282930097,0.0,h7
delta_temp_19h,0.030796778159525973,0.0,h7
temp_lag_24h,0.026267115672131913,0.0,h7
temp_trend_1h,0.02511337745787179,0.0,h7
coco,0.024659490579669097,0.0,h7
rhum,0.02389077851965804,0.0,h7
pres,0.02057312123688848,0.0,h7
delta_temp_13h,0.017336278521265625,0.0,h7
delta_temp_17h,0.016788567845702485,0.0,h7
doy_cos,0.014066161897340557,0.0,h7
temp_lag_1h,0.012772218087740095,0.0,h7
hours_from_solar_peak,0.012176476184587726,0.0,h7
temp_roll_std_12h,0.011884689728269615,0.0,h7
wpgt,0.010597529408893802,0.0,h7
delta_temp_18h,0.009081442971152986,0.0,h7
delta_temp_12h,0.009021662851086187,0.0,h7
temp_lag_16h,0.008263996175351895,0.0,h7
delta_temp_21h,0.006854080999382894,0.0,h7
delta_temp_24h,0.00566977562155202,0.0,h7
temp_roll_std_3h,0.00520609850723841,0.0,h7
solar_heating_efficiency,0.004743251285010297,0.0,h7
hours_since_rain,0.004644813803883041,0.0,h7
yesterday_max_temp,0.0046080241778678754,0.0,h7
delta_pres_3h,0.004388865018478905,0.0,h7
delta_pres_6h,0.0043734772944701295,0.0,h7
delta_cldc_3h,0.004296813291009949,0.0,h7
delta_temp_9h,0.004237721630946378,0.0,h7
temp_lag_4h,0.003995559029636775,0.0,h7
delta_temp_20h,0.003659999333523123,0.0,h7
temp_lag_21h,0.003555275889604914,0.0,h7
delta_temp_7h,0.003552174234496608,0.0,h7
temp,0.003388611508142292,0.0,h7
delta_temp_2h,0.003206089208600993,0.0,h7
delta_temp_10h,0.0030089651005644757,0.0,h7
temp_lag_2h,0.0029105568664853365,0.0,h7
temp_roll_mean_6h,0.0026337267830562894,0.0,h7
temp_lag_15h,0.0025286617659203703,0.0,h7
temp_roll_mean_3h,0.0025225376157018697,0.0,h7
delta_pres_1h,0.0024473321475138032,0.0,h7
delta_cldc_6h,0.002175081672980861,0.0,h7
temp_lag_23h,0.0021039759010135217,0.0,h7
doy_sin,0.0017754200893076444,0.0,h7
delta_temp_6h,0.0017087543206266709,0.0,h7
temp_lag_17h,0.0015705813238493516,0.0,h7
temp_lag_6h,0.001359324098178405,0.0,h7
delta_temp_11h,0.0013267716094722548,0.0,h7
rain_3h_sum,0.0012727828697460808,0.0,h7
temp_lag_22h,0.0012226087768976157,0.0,h7
delta_temp_22h,0.0012095961011453493,0.0,h7
delta_temp_5h,0.000869780125485109,0.0,h7
delta_temp_23h,0.0008515697339988026,0.0,h7
delta_temp_8h,0.0006273768432296656,0.0,h7
temp_lag_18h,0.0006100974992253594,0.0,h7
